Refractive Indices,Thicknesses
"2.2061988652850064,1.85532877097426,1.0671103724886704,1.7751766303596022","403.38465186122863,154.2439193420515,338.9471746630736,226.37483433041882"
"1.1868651217881563,2.474627177568472,1.9618022934819033,2.296320813813947","422.76554591423394,237.6485290560122,441.0536149174632,282.2236232416143"
"1.0178984775350002,1.0968955423415683,1.6226092175302762,2.3081198899558992","126.73288766527433,277.88067332442506,441.4921138094333,137.05844307709685"
"1.4514167888122065,2.084556677008474,2.3166845819253714,1.0799246137231602","337.19612266709026,108.2681571851765,331.15334343278505,483.8972297583239"
"1.548006589181927,2.2442565772354097,1.8265288431620887,1.1145575446398484","147.5510816999115,197.7501561619705,482.45083239442357,430.0796312854336"
"2.39252192827091,1.2246201725434207,1.8640263463986815,2.242981578028389","200.47831513219433,360.75106810807887,470.9835966829503,434.0904329195094"
"1.1678887237488402,1.4064930500820854,1.3063838081822388,2.079842184428079","112.9436716927255,198.95529167921467,154.66868588912945,182.09147239267716"
"1.4133049752031024,1.2287275573231389,1.1845533843483387,2.3432948534672997","345.6336093067035,337.14105000664154,458.60297471762436,299.69407352589684"
"1.6981685183893425,1.752081594255694,2.482050077408874,1.3523144226599246","489.912563951698,137.7285116167831,115.68459372742801,328.145971586913"
"1.5214029368985094,1.555442545822831,1.8181204374743571,1.8641009555439025","354.66327983699443,230.0222145578945,112.29189600188315,336.9140968491134"
"1.355300520711908,2.058347125800557,1.9884655363036556,2.158959178131889","297.01221223900257,325.3323390183441,165.8662971635458,427.5145359294232"
"1.6618862550116327,1.4552415860757386,1.7190340951499234,1.7880827489476934","359.15969565188936,447.8486051518126,410.04367976823835,195.84787610728762"
"1.697697896683634,1.2381715887636764,1.290944439541203,1.2713319656377227","271.07703922332485,387.8688650745178,413.16976187757433,220.217160157563"
"2.457027794000357,2.285208178744682,2.1230104062875457,2.3813321303987327","180.3619349393501,259.6227472386802,383.61223357838827,268.86682815925104"
"2.083485752288837,1.763872020484858,1.5082693310527129,2.1638125220323414","475.00595329815957,451.2036009861829,362.93443410591306,137.20324668046345"
"1.3335998751122702,1.263000365393748,1.4286052695103804,1.8266682340299492","384.29760358078113,133.0893298772188,182.56958548990863,409.2946520207058"
"1.1009692958709003,1.311644981955721,1.0806412772555083,2.426607756178268","354.7022314886513,113.9893174128154,123.55197863678114,289.1408541943799"
"2.026222474976104,1.907976417898352,1.6948008388410538,2.3575241480565907","476.5850872724606,400.7111583398325,272.16886038668036,259.94956504704396"
"1.1559850933441282,1.003359000058017,1.4813318091908232,2.0086962936238217","101.88398228864499,443.745573233652,275.99776422411213,467.5846823882139"
"1.0169735120080492,2.1245802629697894,2.2497206996126478,2.201871636601166","414.81963222146805,196.70920018470537,460.3542306591826,411.46709418646367"
"1.7961647141562163,2.3492198441532617,1.7970814308397218,2.39774285328859","282.5208440408071,154.99414146271712,423.99935320778116,158.77055643727095"
"1.1322474095320234,1.0473334449242782,1.8878835648378058,1.0629621557156337","144.78964313861522,239.15493869113624,427.95149585473746,247.01533067620346"
"1.2086338503408003,1.2084667767639508,1.236669894259503,2.235397668994507","226.44794030082306,375.6515342998072,202.08659136726504,254.79498763419096"
"2.1997397738968294,2.4333368429271456,1.5845971613257408,1.0796001497661463","264.0520705661312,332.35827968421074,444.0704338316736,471.69765150338725"
"1.9346773883302189,1.3205961735687528,2.098600721214572,2.0087384632388017","150.61245661698524,244.1319651150241,200.19673153140505,113.3740826052926"
"1.7504733538263642,1.8759239190765054,2.16400322517969,1.8886749367120927","459.4502869423831,176.29884723332592,252.5751041748911,379.0657585174392"
"1.6343050049039174,1.5661897375256018,2.153779792030883,1.212499238307719","368.40096818228704,173.6635247280133,178.95084732681514,293.9187481687413"
"1.9201619429052323,2.3980816226416146,1.7895016372234371,1.734872048357794","300.03112675799457,294.3605536043484,198.34972393742171,116.55073494390726"
"1.4401922946535717,1.4073937760191277,2.1210085785215362,2.2273463385978625","429.5342216572984,196.39306688049908,351.4398212296918,378.15062436077073"
"2.186864874774538,1.8420561713600574,1.2393138052008656,1.736662618277082","121.34436928474592,398.31858862395654,253.32212612495638,135.0107946106574"
"2.4289895417826317,1.5285699369506727,2.0109077032344356,2.1068985648263974","488.3575304482716,177.29339604753673,256.1112160452699,336.2262145189235"
"2.4748088296000743,1.1186482470822192,1.7447190589323207,2.423218112241715","173.37259398549946,140.7955903641963,226.7147410222542,142.82824923869998"
"2.007764272084798,1.9515047505148821,2.1511293203059036,1.633570515591897","377.0873090007336,419.19260524079294,302.64890788225523,266.77849826636077"
"2.3926746241687593,1.086858409573081,1.020870642435046,2.4286636948938867","298.95932645759,180.74989236183194,255.9036300626803,433.90189426043844"
"2.0581243181671223,1.3174666862450792,2.493026614652992,1.0133136032260173","327.89139887684803,340.6654224886961,196.24788526200956,395.9226152475569"
"1.841953646791382,1.1372025550679905,2.009694881937921,1.6988602972464764","451.92509380106446,232.01780547609135,374.45831052047987,214.91292728794483"
"2.0716311491502166,1.651264739851527,1.7340194356809717,1.9137332546385886","164.32101284854616,158.48374491227196,146.41562308333138,174.67306557300546"
"1.317013484594733,2.004556486558529,1.9146989609174816,1.64159528170691","386.488967407998,414.09395900196967,266.56609363570834,233.66610501660597"
"1.3226759182659464,2.1687553644069073,1.3937306523194102,1.9268571517453106","490.32116639351915,320.5583297262866,170.6527440108605,463.54680328049636"
"1.7792516599065518,1.371356519041521,1.4431158709203893,1.587725166301102","367.9294842900766,131.8400028024413,274.3172084917977,213.72198923164424"
"2.1499679151516733,1.529616496530764,1.3768636317851488,1.4053422937779312","334.7049926196764,355.9268722982439,491.45799236714214,430.0208987906347"
"1.4483266225831417,1.3846441075061109,1.8762074809147908,1.3785925082880404","115.3481230859123,466.2357609563708,353.9029344841689,315.1603294112277"
"1.7552476073472212,1.893834773037875,1.965122156931245,2.351975815550499","464.9283689741936,284.2139239143905,135.3663683942834,494.81104224103063"
"1.8686550397489985,2.1993483946973305,2.007535273126657,1.0027009178703858","215.01967488387243,299.03510864086707,200.23595020926302,287.12623111087305"
"2.0600398336070223,1.9604030920230362,1.2482439892159183,1.490108171106046","345.1721844516779,470.32280163723357,335.6690473688126,443.3209964284292"
"2.344018943442907,1.672342541044513,2.4131534487980226,2.3855986504611773","349.6274014729413,171.74479521553442,346.983880451169,172.91327423880696"
"1.3825244558476089,2.4446109529063493,2.1333790989977164,1.980980708054235","185.99939387172805,483.4691978153561,110.00075810407863,184.98276902150724"
"1.1719545919567143,2.2132062461761675,1.6023389498912388,1.744498751376104","307.21418463603914,242.26915105727517,151.85660263446925,180.41432381686934"
"2.262983925236929,1.5361154499755938,1.9075182898646517,1.7221274185759134","495.6952662163621,138.40770705944675,383.29468159916973,171.48056263745548"
"1.0284544815536245,1.5401466225810172,1.319614508091294,1.3679493369984115","376.00914911339953,448.11533550993363,294.54095500481037,433.24328324861654"
"1.152932899605422,1.2577707849067343,2.2859662092761774,1.3396181340864999","214.1707414245371,394.5256898976464,208.40969414729716,222.8110503680124"
"1.340518718457142,1.4592763780447167,2.1931849520954607,1.0558976842784158","432.40723702446104,375.25125888805513,376.7630767913971,407.2100323473342"
"1.0334907602046637,2.300536434333769,1.9294628806648362,1.6254039152908963","275.16996356001533,213.77063001057573,115.38081518903822,249.43731726577175"
"1.9867308890326063,2.34603925421838,1.6263859018727094,2.3336877292813862","228.4169254564994,459.68741023997023,217.39209447037328,454.68814230265775"
"1.462377585819974,1.6695750321409695,1.302102563145282,1.4262411053289492","305.59482249081714,431.9416765923406,271.11664300256604,200.14384365167092"
"1.5376266575621966,2.474395487846007,1.3872695284491983,1.717447116522758","415.2454431603428,226.32836574552772,160.22773463634906,341.1474908074525"
"2.331970543552381,2.2330219211309714,2.427335300603862,1.9890761299846094","434.4667260211308,475.48706148723414,296.29674944010435,144.12060298984946"
"1.446068890439911,2.4305166154488393,2.3441635091597366,1.5316956611366277","176.75681175231128,413.7280493490333,416.4515760835934,425.9680622832023"
"1.3485722149914565,1.2003154469906108,2.12578336104276,1.2986922971596722","371.99552398868326,179.54544043083013,127.30070244650676,174.23820763955274"
"1.0742062681991547,1.492816755250211,1.9804007880864927,2.334382276218341","242.76242032978016,302.07833017206843,318.1573213153125,315.3502234094302"
"1.6069524162244964,1.2502549624659893,1.921409213485693,1.891741402655115","246.87709341670902,429.879892901947,279.60949377452584,102.33223105992604"
"1.0412517868815931,1.3566488758127788,2.4871502756726036,1.352723904347924","389.89298091043935,194.507518895786,310.0915118794403,161.75314454607994"
"2.0345390209972276,1.5311036020991273,1.759840801760888,2.139788926337604","302.4764446998002,496.2067191464216,188.82154021776887,384.60180775953876"
"1.766571103000544,1.8269777589405287,1.6968883172021898,1.0400046621999621","352.71315077057125,431.43960487840593,171.08375831354442,301.0163723109944"
"2.2656464635993183,2.028415771747545,1.2571380652559694,2.202647509258389","433.9239338594869,436.17154686417723,210.90008398764007,262.47774243572906"
"1.0689402772676826,1.8872164551078654,1.3780513852771252,2.3320943234951486","277.31666453440886,193.64155414960553,332.33360017753216,326.9257788477213"
"1.515329799921925,2.290919249211862,2.178483258243081,1.5858269329974342","418.0085259037206,429.1080183809995,473.18299210223154,297.68826079238113"
"1.8588665049493058,1.5679224545774062,1.135243883210876,1.6959318710430602","193.05198742078838,324.32169823914273,160.84333967450468,222.783352565925"
"2.2416356428925317,2.3670219043135967,2.1859939549555145,1.5885768934856896","251.8417061541702,416.4676851329946,357.9623696496908,435.07149073969134"
"1.397029442776545,2.2245048108464336,1.1299454918318765,1.414424887619681","259.9478918125673,296.3590367975181,113.2800406430217,186.9094010338215"
"1.7034956685910503,1.2531359570339236,1.5991242585614505,2.3204754433891197","125.9616465315487,112.96752252320208,240.27453426717966,285.6231879605606"
"1.9018449364963121,1.853455376163397,2.4743392010873935,2.0995803583615036","109.95528242992472,279.120877497201,234.46015615836293,220.96284024715612"
"1.6567494687080628,1.6856512750847554,2.0929140335943495,2.1883170174190623","482.3506669567212,253.58237252849426,435.5277998676208,385.78172423264346"
"2.21176785185304,1.7151717764013394,2.0484976863858453,2.3893299472701304","337.5529554426913,366.46806925378195,224.54945657310486,413.97241512025033"
"2.3425811043688247,1.933534756112625,2.100257293068686,1.2750920756470085","320.4957464765069,273.59005492894585,229.5933392233796,297.7238643718832"
"1.8569163673868663,2.3632133067063514,1.9959938505454595,2.3475502560384456","264.66966513167057,300.092833851533,108.7187489662563,253.80431907601317"
"2.39188275036458,2.195426118521299,2.1390816293410433,1.111571315766203","276.1544979385767,263.3296865722698,278.59833407091537,431.57356116642404"
"1.2174133199751174,2.441557101329482,1.443359717484447,1.5640961308896466","153.45387436043873,328.0732995410651,238.6279272288001,291.7791050524018"
"2.399779023655292,2.0224824200667118,2.3117317233801478,1.1632915728453375","173.67207388721909,136.3420729108856,460.18090075471616,148.59098382765055"
